["Cowboys","Jets","false","37","22","5","2025-10-05 12:01"],
["Broncos","Eagles","false","21","17","5","2025-10-05 12:01"],
["Raiders","Colts","false","6","40","5","2025-10-05 12:01"],
["Giants","Saints","false","14","26","5","2025-10-05 12:01"],
["Titans","Broncos","false","12","20","1","2025-09-07 15:05"],
["49ers","Seahawks","false","17","13","1","2025-09-07 15:05"],
["Panthers","Cardinals","false","22","27","2","2025-09-14 15:05"],
["Broncos","Chargers","false","20","23","3","2025-09-21 15:05"],
["Saints","Seahawks","false","13","44","3","2025-09-21 15:05"],
["Broncos","Colts","false","28","29","2","2025-09-14 15:06"],
["Colts","Rams","false","20","27","4","2025-09-28 15:06"],
["Jaguars","49ers","false","26","21","4","2025-09-28 15:06"],
["Titans","Cardinals","false","22","21","5","2025-10-05 15:06"],
["Buccaneers","Seahawks","false","38","35","5","2025-10-05 15:06"],
["Lions","Packers","false","13","27","1","2025-09-07 15:25"],
["Texans","Rams","false","9","14","1","2025-09-07 15:25"],
["Eagles","Chiefs","false","20","17","2","2025-09-14 15:25"],
["Cowboys","Bears","false","14","31","3","2025-09-21 15:25"],
["Ravens","Chiefs","false","20","37","4","2025-09-28 15:25"],
["Cardinals","49ers","false","15","16","3","2025-09-21 15:26"],
["Bears","Raiders","false","25","24","4","2025-09-28 15:26"],
["Lions","Bengals","false","37","24","5","2025-10-05 15:26"],
["Commanders","Chargers","false","27","10","5","2025-10-05 15:26"],
["Buccaneers","Texans","false","20","19","2","2025-09-15 18:01"],
["Jets","Dolphins","false","21","27","4","2025-09-29 18:15"],
["Chiefs","Chargers","false","21","27","1","2025-09-05 19:00"],
["Vikings","Bears","false","27","24","1","2025-09-08 19:15"],
["Dolphins","Bills","false","21","31","3","2025-09-18 19:15"],
["Lions","Ravens","false","38","30","3","2025-09-22 19:15"],
["Bengals","Broncos","false","3","28","4","2025-09-29 19:15"],
["Commanders","Packers","false","18","27","2","2025-09-11 19:16"],
["Seahawks","Cardinals","false","23","20","4","2025-09-25 19:16"],
["49ers","Rams","false","26","23","5","2025-10-02 19:16"],
["Chiefs","Jaguars","false","28","31","5","2025-10-06 19:16"],
["Cowboys","Eagles","false","20","24","1","2025-09-04 19:20"],
["Ravens","Bills","false","40","41","1","2025-09-07 19:20"],
["Falcons","Vikings","false","22","6","2","2025-09-14 19:20"],
["Chiefs","Giants","false","22","9","3","2025-09-21 19:21"],
["Packers","Cowboys","false","40","40","4","2025-09-28 19:21"],
["Patriots","Bills","false","23","20","5","2025-10-05 19:21"],
["Chargers","Raiders","false","20","9","2","2025-09-15 21:00"],
["Vikings","Steelers","true","21","24","4","2025-09-28 8:31"],
["Vikings","Browns","true","21","17","5","2025-10-05 8:31"]
["Eagles","Giants","false","17","34","6","2025-10-09 19:15"],
["Broncos","Jets","true","13","11","6","2025-10-12 8:30"],
["Seahawks","Jaguars","false","20","12","6","2025-10-12 12:00"],
["Patriots","Saints","false","25","19","6","2025-10-12 12:00"],
["Cardinals","Colts","false","27","31","6","2025-10-12 12:01"],
["Rams","Ravens","false","17","3","6","2025-10-12 12:01"],
["Cowboys","Panthers","false","27","30","6","2025-10-12 12:01"],
["Browns","Steelers","false","9","23","6","2025-10-12 12:01"],
["Chargers","Dolphins","false","29","27","6","2025-10-12 12:01"],
["Titans","Raiders","false","10","20","6","2025-10-12 15:06"],
["Bengals","Packers","false","18","27","6","2025-10-12 15:26"],
["49ers","Buccaneers","false","19","30","6","2025-10-12 15:26"],
["Lions","Chiefs","false","17","30","6","2025-10-12 19:20"]]
